iter	Passed	Remaining
0	2	201
1	3	187
2	5	183
3	7	179
4	9	180
5	11	179
6	13	175
7	15	173
8	16	171
9	18	168
10	20	166
11	22	163
12	24	162
13	26	162
14	28	160
15	30	158
16	32	157
17	34	155
18	36	154
19	38	152
20	40	151
21	42	149
22	44	147
23	45	145
24	47	143
25	49	141
26	51	140
27	53	138
28	55	136
29	57	134
30	59	133
31	61	131
32	63	129
33	65	127
34	67	125
35	69	123
36	71	121
37	73	119
38	75	117
39	77	115
40	78	113
41	80	111
42	82	109
43	84	107
44	86	105
45	88	103
46	90	101
47	92	100
48	94	98
49	96	96
50	98	94
51	99	92
52	101	90
53	103	88
54	105	86
55	107	84
56	109	82
57	111	80
58	113	78
59	115	76
60	117	74
61	119	73
62	121	71
63	123	69
64	124	67
65	126	65
66	128	63
67	130	61
68	132	59
69	134	57
70	136	55
71	138	53
72	140	51
73	142	49
74	143	47
75	146	46
76	147	44
77	149	42
78	151	40
79	153	38
80	155	36
81	157	34
82	159	32
83	161	30
84	162	28
85	164	26
86	166	24
87	168	23
88	170	21
89	172	19
90	174	17
91	176	15
92	178	13
93	180	11
94	182	9
95	184	7
96	186	5
97	188	3
98	190	1
99	192	0
