phase,dataset,model,model_type,preprocessing,accuracy,f1,precision,recall,roc_auc,training_time_seconds,missing_mechanism,missing_rate
4.4,taiwan_bankruptcy,TabICL,Foundation,median,0.9721407624633431,0.9664351571763908,0.9662400741344325,0.9721407624633431,0.9579373278236915,243.68948578834534,,
4.4,taiwan_bankruptcy,TabICL,Foundation,mice,0.9721407624633431,0.9664351571763908,0.9662400741344325,0.9721407624633431,0.9579373278236915,211.12825512886047,,
4.4,taiwan_bankruptcy,TabICL,Foundation,mice_indicator,0.9721407624633431,0.9664351571763908,0.9662400741344325,0.9721407624633431,0.9579373278236915,212.53074622154236,,
4.4,taiwan_bankruptcy,TabICL,Foundation,raw_nan,0.9721407624633431,0.9664351571763908,0.9662400741344325,0.9721407624633431,0.9579373278236915,208.02731108665466,,
4.4,taiwan_bankruptcy,CatBoost,Foundation,median,0.9714076246334311,0.9658686448615639,0.9650911064686539,0.9714076246334311,0.956301652892562,0.7609286308288574,,
4.4,taiwan_bankruptcy,CatBoost,Foundation,mice,0.9714076246334311,0.9658686448615639,0.9650911064686539,0.9714076246334311,0.956301652892562,0.6011767387390137,,
4.4,taiwan_bankruptcy,CatBoost,Foundation,mice_indicator,0.9714076246334311,0.9658686448615639,0.9650911064686539,0.9714076246334311,0.956301652892562,0.6166162490844727,,
4.4,taiwan_bankruptcy,CatBoost,Foundation,raw_nan,0.9714076246334311,0.9658686448615639,0.9650911064686539,0.9714076246334311,0.956301652892562,0.5851128101348877,,
4.4,polish_1year,TabICL,Foundation,median,0.9765291607396871,0.9719375270034368,0.9760806935886481,0.9765291607396871,0.9668529476221784,161.1911985874176,,
4.4,polish_1year,TabICL,Foundation,mice,0.9857752489331437,0.9843998064346879,0.9855971799690586,0.9857752489331437,0.9845496383957922,161.1767406463623,,
4.4,polish_1year,TabICL,Foundation,mice_indicator,0.9857752489331437,0.9845801515609027,0.9853260462678745,0.9857752489331437,0.9837689020381327,249.40402340888977,,
4.4,polish_1year,TabICL,Foundation,raw_nan,0.9943100995732574,0.994090895739708,0.9943435695757676,0.9943100995732574,0.9980550076703923,164.2917263507843,,
4.4,polish_1year,CatBoost,Foundation,median,0.9800853485064012,0.977022979333634,0.9797872422003505,0.9800853485064012,0.9704963839579224,0.6698064804077148,,
4.4,polish_1year,CatBoost,Foundation,mice,0.9822190611664295,0.9796226533206663,0.9825418814066905,0.9822190611664295,0.9700580758273066,0.4962742328643799,,
4.4,polish_1year,CatBoost,Foundation,mice_indicator,0.984352773826458,0.9828397870781567,0.9838284308126798,0.984352773826458,0.9795501862809555,0.5361166000366211,,
4.4,polish_1year,CatBoost,Foundation,raw_nan,0.9829302987197724,0.9812797677216255,0.9820596816563011,0.9829302987197724,0.9827279202279202,0.4710676670074463,,
4.4,slovak_manufacture_13,TabICL,Foundation,median,0.9902676399026764,0.9893003600496744,0.988457694572841,0.9902676399026764,0.9938725490196079,88.56914591789246,,
4.4,slovak_manufacture_13,TabICL,Foundation,mice,0.9902676399026764,0.9902676399026764,0.9902676399026764,0.9902676399026764,0.9953022875816994,87.62404561042786,,
4.4,slovak_manufacture_13,TabICL,Foundation,mice_indicator,0.9890510948905109,0.9894688501248445,0.9899140848404203,0.9890510948905109,0.9944852941176471,150.30215287208557,,
4.4,slovak_manufacture_13,TabICL,Foundation,raw_nan,0.9890510948905109,0.9872363222393357,0.9854281971070292,0.9890510948905109,0.9944852941176471,87.2411835193634,,
4.4,slovak_manufacture_13,CatBoost,Foundation,median,0.9902676399026764,0.9914722286985059,0.9931753622667289,0.9902676399026764,0.9957107843137255,0.23581933975219727,,
4.4,slovak_manufacture_13,CatBoost,Foundation,mice,0.9927007299270073,0.9919752700372558,0.991496082665572,0.9927007299270073,0.9967320261437909,0.4550478458404541,,
4.4,slovak_manufacture_13,CatBoost,Foundation,mice_indicator,0.9927007299270073,0.9919752700372558,0.991496082665572,0.9927007299270073,0.9967320261437909,0.47060656547546387,,
4.4,slovak_manufacture_13,CatBoost,Foundation,raw_nan,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9951338199513382,0.9983660130718953,0.2225358486175537,,
