phase,dataset,missing_mechanism,missing_rate,preprocessing,train_missing_fraction_before,train_missing_fraction_after,test_missing_fraction_after,imputation_time_seconds,n_train,n_test,n_features_after,error
3.3,taiwan_bankruptcy,native,0,mean,0.0,0.0,0.0,0.01542043685913086,5455,1364,95,
3.3,taiwan_bankruptcy,native,0,median,0.0,0.0,0.0,0.01978135108947754,5455,1364,95,
3.3,taiwan_bankruptcy,native,0,knn,0.0,0.0,0.0,0.01405191421508789,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,5,mean,0.04999951758406098,0.0,0.0,0.01905035972595215,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,5,median,0.04999951758406098,0.0,0.0,0.023638486862182617,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,5,knn,0.04999951758406098,0.0,0.0,3.4295663833618164,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,10,mean,0.09999903516812196,0.0,0.0,0.019210100173950195,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,10,median,0.09999903516812196,0.0,0.0,0.023169755935668945,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,10,knn,0.09999903516812196,0.0,0.0,4.97967529296875,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,15,mean,0.15000048241593902,0.0,0.0,0.018774986267089844,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,15,median,0.15000048241593902,0.0,0.0,0.023824691772460938,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,15,knn,0.15000048241593902,0.0,0.0,6.649378538131714,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,20,mean,0.2,0.0,0.0,0.01907515525817871,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,20,median,0.2,0.0,0.0,0.022960186004638672,5455,1364,95,
3.3,taiwan_bankruptcy,MCAR,20,knn,0.2,0.0,0.0,8.21641206741333,5455,1364,95,
