phase,dataset,model,model_type,preprocessing,accuracy,f1,precision,recall,roc_auc,training_time_seconds,missing_mechanism,missing_rate,device,error
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9618768328445748,0.9549004649811101,0.9500576036866359,0.9618768328445748,0.8522555096418734,0.03175806999206543,native,0,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.969208211143695,0.9614178050518054,0.96036866359447,0.969208211143695,0.9204373278236915,0.28730297088623047,native,0,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9618768328445748,0.9549004649811101,0.9500576036866359,0.9618768328445748,0.8522555096418734,0.03329730033874512,native,0,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.969208211143695,0.9614178050518054,0.96036866359447,0.969208211143695,0.9204373278236915,0.28439927101135254,native,0,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9618768328445748,0.9549004649811101,0.9500576036866359,0.9618768328445748,0.8522555096418734,0.032354116439819336,native,0,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.969208211143695,0.9614178050518054,0.96036866359447,0.969208211143695,0.9204373278236915,0.27777528762817383,native,0,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9604105571847508,0.9547374127919419,0.9504293050874658,0.9604105571847508,0.8800447658402203,0.03097820281982422,MCAR,5,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9714076246334311,0.9652245346645261,0.9649062010032837,0.9714076246334311,0.9328340220385675,0.2861013412475586,MCAR,5,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9604105571847508,0.9547374127919419,0.9504293050874658,0.9604105571847508,0.8859848484848484,0.029587745666503906,MCAR,5,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.968475073313783,0.960085446887348,0.9586079973845308,0.968475073313783,0.9186036501377411,0.28950047492980957,MCAR,5,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9596774193548387,0.9535173172215802,0.948734119625617,0.9596774193548387,0.8709194214876033,0.028461456298828125,MCAR,5,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.9714076246334311,0.9630064081676983,0.9654531149417065,0.9714076246334311,0.9302599862258953,0.3077373504638672,MCAR,5,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9626099706744868,0.9568978759691016,0.9529824825625723,0.9626099706744868,0.8821625344352617,0.021370649337768555,MCAR,10,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9699413489736071,0.9627173544089327,0.961988569788852,0.9699413489736071,0.9283660468319559,0.30828857421875,MCAR,10,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9611436950146628,0.955207596595341,0.9508583010940945,0.9611436950146628,0.881232782369146,0.026727914810180664,MCAR,10,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.967008797653959,0.9598744630744529,0.9570582741322695,0.967008797653959,0.9319817493112948,0.28735899925231934,MCAR,10,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9611436950146628,0.9566161889324951,0.9531610651353939,0.9611436950146628,0.8987947658402204,0.02837061882019043,MCAR,10,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.968475073313783,0.9616578202711441,0.959674249755941,0.968475073313783,0.9318956611570248,0.29268383979797363,MCAR,10,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9618768328445748,0.9583711382335491,0.9556302493914334,0.9618768328445748,0.90659435261708,0.023678302764892578,MCAR,15,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9699413489736071,0.9634411774678351,0.9622902253796124,0.9699413489736071,0.9463240358126721,0.29584646224975586,MCAR,15,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9618768328445748,0.9583711382335491,0.9556302493914334,0.9618768328445748,0.8988808539944904,0.023272275924682617,MCAR,15,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.9714076246334311,0.9652245346645261,0.9649062010032837,0.9714076246334311,0.9319645316804408,0.29466915130615234,MCAR,15,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9618768328445748,0.9577557541995941,0.9546345097822788,0.9618768328445748,0.9000688705234161,0.019321918487548828,MCAR,15,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.9706744868035191,0.9632550524302907,0.963389656938044,0.9706744868035191,0.928081955922865,0.29598331451416016,MCAR,15,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9611436950146628,0.9589963684994962,0.9571501388729963,0.9611436950146628,0.8997933884297521,0.029604673385620117,MCAR,20,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.967741935483871,0.9603843239670488,0.9580262276251555,0.967741935483871,0.9430785123966942,0.3115062713623047,MCAR,20,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9611436950146628,0.9589963684994962,0.9571501388729963,0.9611436950146628,0.8889807162534434,0.02542567253112793,MCAR,20,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.968475073313783,0.9616578202711441,0.959674249755941,0.968475073313783,0.9336088154269973,0.28987646102905273,MCAR,20,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9574780058651027,0.9548324671879145,0.9524903339943788,0.9574780058651027,0.8925964187327825,0.025314807891845703,MCAR,20,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.969208211143695,0.9614178050518054,0.96036866359447,0.969208211143695,0.9419077134986225,0.3222532272338867,MCAR,20,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9560117302052786,0.9585505965532478,0.961505940049888,0.9560117302052786,0.9193440082644628,0.02444624900817871,MCAR,30,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9721407624633431,0.9664351571763908,0.9662400741344325,0.9721407624633431,0.9430699035812671,0.3023052215576172,MCAR,30,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9567448680351907,0.9574332599764727,0.9581487845183804,0.9567448680351907,0.9107524104683197,0.024935245513916016,MCAR,30,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.967741935483871,0.9618388549840163,0.959389400921659,0.967741935483871,0.9440513085399449,0.29700636863708496,MCAR,30,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9530791788856305,0.9540635967199228,0.9550895512631957,0.9530791788856305,0.8938274793388429,0.02455282211303711,MCAR,30,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.9699413489736071,0.9634411774678351,0.9622902253796124,0.9699413489736071,0.9341081267217631,0.35046815872192383,MCAR,30,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9494134897360704,0.9559914824401258,0.96509941671232,0.9494134897360704,0.9339273415977961,0.02290201187133789,MCAR,40,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9706744868035191,0.9653080499854694,0.9640552995391705,0.9706744868035191,0.9382489669421488,0.29527735710144043,MCAR,40,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9523460410557185,0.9573897053004008,0.9640163104398728,0.9523460410557185,0.9123708677685951,0.0226590633392334,MCAR,40,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.967008797653959,0.9647207296785666,0.9630240016803598,0.967008797653959,0.940444214876033,0.28544139862060547,MCAR,40,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9523460410557185,0.9570737550078583,0.9631466860489505,0.9523460410557185,0.906568526170799,0.02433037757873535,MCAR,40,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.967741935483871,0.9618388549840163,0.959389400921659,0.967741935483871,0.9426997245179063,0.3906428813934326,MCAR,40,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9633431085043989,0.95583573312683,0.9511735288948537,0.9633431085043989,0.8916150137741047,0.028634071350097656,MAR,5,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9706744868035191,0.9632550524302907,0.963389656938044,0.9706744868035191,0.9263860192837466,0.2969803810119629,MAR,5,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9626099706744868,0.9553666894343525,0.9505872848568235,0.9626099706744868,0.8936466942148761,0.028192996978759766,MAR,5,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.969208211143695,0.962185036514001,0.960760266105102,0.969208211143695,0.9239066804407714,0.2793581485748291,MAR,5,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9626099706744868,0.9553666894343525,0.9505872848568235,0.9626099706744868,0.8805957300275481,0.03102254867553711,MAR,5,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.9699413489736071,0.9619419377297967,0.9618057022369241,0.9699413489736071,0.9369146005509643,0.287489652633667,MAR,5,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9640762463343109,0.9592585696500159,0.9560721771182153,0.9640762463343109,0.9081267217630854,0.026111841201782227,MAR,10,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9699413489736071,0.9634411774678351,0.9622902253796124,0.9699413489736071,0.9395833333333332,0.2776763439178467,MAR,10,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9640762463343109,0.9592585696500159,0.9560721771182153,0.9640762463343109,0.9059228650137742,0.028797626495361328,MAR,10,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.969208211143695,0.9614178050518054,0.96036866359447,0.969208211143695,0.9221504820936639,0.2697887420654297,MAR,10,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9626099706744868,0.9561562781579014,0.9518330811295528,0.9626099706744868,0.884400826446281,0.026342391967773438,MAR,10,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.967008797653959,0.9598744630744529,0.9570582741322695,0.967008797653959,0.9288481404958677,0.2949104309082031,MAR,10,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9618768328445748,0.9595049705822682,0.9575195103508296,0.9618768328445748,0.9139634986225895,0.022905826568603516,MAR,15,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.967741935483871,0.9603843239670488,0.9580262276251555,0.967741935483871,0.9350637052341597,0.289569616317749,MAR,15,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9604105571847508,0.9573746437323786,0.9548550566695728,0.9604105571847508,0.909194214876033,0.024610280990600586,MAR,15,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.968475073313783,0.9608986887703438,0.9591206548857378,0.968475073313783,0.9292527548209366,0.28295159339904785,MAR,15,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9611436950146628,0.957261372459437,0.9542187949156992,0.9611436950146628,0.9068698347107439,0.021961688995361328,MAR,15,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.968475073313783,0.9616578202711441,0.959674249755941,0.968475073313783,0.9141873278236915,0.3069727420806885,MAR,15,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9611436950146628,0.9578713487267408,0.9552307431696633,0.9611436950146628,0.909400826446281,0.020121335983276367,MAR,20,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9706744868035191,0.9632550524302907,0.963389656938044,0.9706744868035191,0.9299070247933885,0.30600500106811523,MAR,20,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9604105571847508,0.9573746437323786,0.9548550566695728,0.9604105571847508,0.9057851239669421,0.02416396141052246,MAR,20,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.9714076246334311,0.9652245346645261,0.9649062010032837,0.9714076246334311,0.946797520661157,0.2964329719543457,MAR,20,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9611436950146628,0.957261372459437,0.9542187949156992,0.9611436950146628,0.909641873278237,0.02192378044128418,MAR,20,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.9706744868035191,0.9632550524302907,0.963389656938044,0.9706744868035191,0.9398502066115703,0.30872488021850586,MAR,20,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9640762463343109,0.9615847945388836,0.959614809788097,0.9640762463343109,0.9174758953168043,0.023674964904785156,MAR,30,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.968475073313783,0.9630337247213677,0.9608598032924889,0.968475073313783,0.9209280303030303,0.27574968338012695,MAR,30,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9618768328445748,0.9600282623525973,0.9584250982424322,0.9618768328445748,0.8952307162534436,0.025248289108276367,MAR,30,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.967741935483871,0.9618388549840163,0.959389400921659,0.967741935483871,0.9290375344352617,0.26407957077026367,MAR,30,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9618768328445748,0.9595049705822682,0.9575195103508296,0.9618768328445748,0.8940426997245179,0.022638559341430664,MAR,30,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.967741935483871,0.9618388549840163,0.959389400921659,0.967741935483871,0.9309745179063361,0.3299849033355713,MAR,30,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9604105571847508,0.9584908878276971,0.9568003195578012,0.9604105571847508,0.8719955234159781,0.02301764488220215,MAR,40,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9714076246334311,0.9658686448615639,0.9650911064686539,0.9714076246334311,0.9296143250688705,0.27025890350341797,MAR,40,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9589442815249267,0.9574887914777765,0.9561531547449853,0.9589442815249267,0.875025826446281,0.02499675750732422,MAR,40,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,median,0.9655425219941349,0.9595950014396346,0.9563464422110208,0.9655425219941349,0.9299070247933885,0.2651219367980957,MAR,40,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,knn,0.9596774193548387,0.9585009958732423,0.957410615353403,0.9596774193548387,0.8834280303030305,0.01780533790588379,MAR,40,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,knn,0.969208211143695,0.9629020158265373,0.9612178923879062,0.969208211143695,0.9198519283746556,0.3668653964996338,MAR,40,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,mean,0.9626099706744868,0.9561562781579014,0.9518330811295528,0.9626099706744868,0.8496900826446281,0.02646613121032715,MNAR,5,cpu,
3.4,taiwan_bankruptcy,random_forest,Classical,mean,0.9721407624633431,0.9643478020916691,0.9668829929375835,0.9721407624633431,0.9295368457300275,0.2755849361419678,MNAR,5,cpu,
3.4,taiwan_bankruptcy,logistic_regression,Classical,median,0.9633431085043989,0.9566350624818366,0.9523905529953919,0.9633431085043989,0.849672865013774,0.0266263484954834,MNAR,5,cpu,
