dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
polish_1year,,,mean,Logistic-Regression,Classical,0.7069701280227596,0.7971548243636483,0.9440187813395624,0.7069701280227596,0.7168118562349332,0.6609549638395793,0.4807771599029087,0.6111111111111112,0.13461635316656,0.5109046626020173,0.5338521003723145,
polish_1year,,,mean,Random-Forest,Classical,0.9480796586059744,0.9548233740866324,0.9652202123838882,0.9480796586059744,0.9527586017970634,0.8307719701950471,0.741327210820919,0.7037037037037037,0.724901126765379,0.0999999999999999,0.4648277759552002,
polish_1year,,,mean,Gradient-Boosting,Classical,0.903271692745377,0.9266405064362052,0.9663770594611416,0.903271692745377,0.9778928336620644,0.8874780845934692,0.6780116525780487,0.8703703703703703,0.7952725997826144,0.3146672886039108,11.99840760231018,
polish_1year,,,mean,XGBoost,Classical,0.9295874822190612,0.944124487080463,0.970106920698478,0.9295874822190612,0.9794817006355468,0.910050953320184,0.7272390582287411,0.8888888888888888,0.8276501547633569,0.0081521719694137,1.0242300033569336,
polish_1year,,,mean,LightGBM,Classical,0.8961593172119487,0.9226342233150622,0.969309631319484,0.8961593172119487,0.9792488494411572,0.9193376068376068,0.6771740224447688,0.9444444444444444,0.8157892226341972,0.0062770983236898,1.924365282058716,
polish_1year,,,mean,SVM,Classical,0.615931721194879,0.7296600629479566,0.9482808827052828,0.615931721194879,0.7406722550953321,0.6758437431514355,0.4413409465505062,0.7407407407407407,0.1241906708235031,0.037141055906835,7.262887001037598,
polish_1year,,,mean,MLP,Classical,0.9559032716927454,0.9399136169662486,0.9244500882178768,0.9559032716927454,0.5853468113083498,0.4970414201183432,0.4887272727272727,0.0,0.0522456689564407,0.2902849393916054,0.8446643352508545,
polish_1year,,,mean,TabPFN,Foundation,0.9921763869132292,0.9922777665718876,0.9924320950032004,0.9921763869132292,0.997000328731098,0.9603742055665132,0.9484141675922496,0.925925925925926,0.9607847738238658,0.138671875,152.49758076667786,
polish_1year,,,mean,TabICL,Foundation,0.9893314366998578,0.989642287102216,0.9902144219332156,0.9893314366998578,0.9978906421214114,0.9588949156256849,0.9320017410649514,0.925925925925926,0.9700733638225132,0.0656381174921989,6.811734437942505,
polish_1year,,,mean,CatBoost,Classical,0.8975817923186344,0.9229668331835514,0.9658953039899044,0.8975817923186344,0.9593606180144642,0.8845195047118124,0.6695069636246107,0.8703703703703703,0.8183782615734981,0.0216525803910193,2.8051598072052,
polish_1year,,,median,Logistic-Regression,Classical,0.8385490753911806,0.8819251299521079,0.9396072365910484,0.8385490753911806,0.7126753232522464,0.631588319088319,0.5365133580497552,0.4074074074074074,0.130975050480472,0.5767315141424529,0.579174280166626,
polish_1year,,,median,Random-Forest,Classical,0.918207681365576,0.9362125030374348,0.9670008613917844,0.918207681365576,0.9546830484330484,0.8863549200087661,0.7001492855619535,0.8518518518518519,0.6332487453802818,0.08,0.501295804977417,
polish_1year,,,median,Gradient-Boosting,Classical,0.8520625889046942,0.894186172309596,0.9658147061275948,0.8520625889046942,0.9691814595660748,0.8875191759807144,0.6208041160117838,0.925925925925926,0.7343985322563861,0.2538297401248504,12.37928032875061,
polish_1year,,,median,XGBoost,Classical,0.9800853485064012,0.9800853485064012,0.9800853485064012,0.9800853485064012,0.978235261889108,0.8651928555774709,0.8651928555774709,0.7407407407407407,0.81685042352266,0.1140261739492416,1.194180250167847,
polish_1year,,,median,LightGBM,Classical,0.9402560455192034,0.9508394298898571,0.969266075849116,0.9402560455192034,0.9736604207758054,0.8889299802761341,0.7426995372669996,0.8333333333333334,0.8151595326167622,0.0271023330149951,1.930189609527588,
polish_1year,,,median,SVM,Classical,0.6173541963015647,0.7307686095367835,0.9483285755745344,0.6173541963015647,0.7352207977207977,0.6765833881218497,0.4421178087930307,0.7407407407407407,0.1193702399098237,0.0372274708094048,8.274320125579834,
polish_1year,,,median,MLP,Classical,0.9537695590327168,0.9388397843554666,0.9243702106180884,0.9537695590327168,0.5758683979837825,0.4959319526627219,0.4881689115398617,0.0,0.0496617564368595,0.2877232631955951,0.8755278587341309,
polish_1year,,,median,TabPFN,Foundation,0.9914651493598862,0.9916112352954458,0.9918491142971048,0.9914651493598862,0.9973564540872232,0.960004383081306,0.9442063492063492,0.925925925925926,0.961144843644123,0.1426827758550644,170.27729868888855,
polish_1year,,,median,TabICL,Foundation,0.9281650071123756,0.9428178864134544,0.9682317231357964,0.9281650071123756,0.9663187595879904,0.8915324348016656,0.7190598001452122,0.8518518518518519,0.7860100300004261,0.0367925092577934,7.044504642486572,
polish_1year,,,median,CatBoost,Classical,0.9509246088193456,0.9579310210360076,0.969839210830388,0.9509246088193456,0.9785229015998248,0.8766984440061363,0.7644347857758569,0.7962962962962963,0.8178217288203454,0.0543823668320169,2.727000951766968,
polish_1year,,,knn,Logistic-Regression,Classical,0.8470839260312945,0.8871376523055662,0.9400937468322476,0.8470839260312945,0.7171611330265176,0.6360261889108043,0.5428347602260646,0.4074074074074074,0.117896665307645,0.5801576691769326,0.5738191604614258,
polish_1year,,,knn,Random-Forest,Classical,0.8278805120910384,0.8772430888328098,0.951807482917982,0.8278805120910384,0.8340181897874206,0.7504930966469427,0.5662109305278618,0.6666666666666666,0.2812201883793767,0.06,0.5002255439758301,
