dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
polish_1year,,,mean,TabPFN,Foundation,0.9921763869132292,0.9922777665718876,0.9924320950032004,0.9921763869132292,0.997000328731098,0.9603742055665132,0.9484141675922496,0.925925925925926,0.9607847738238658,0.138671875,152.49758076667786,
polish_1year,,,mean,TabICL,Foundation,0.9893314366998578,0.989642287102216,0.9902144219332156,0.9893314366998578,0.9978906421214114,0.9588949156256849,0.9320017410649514,0.925925925925926,0.9700733638225132,0.0656381174921989,6.811734437942505,
polish_1year,,,median,TabPFN,Foundation,0.9914651493598862,0.9916112352954458,0.9918491142971048,0.9914651493598862,0.9973564540872232,0.960004383081306,0.9442063492063492,0.925925925925926,0.961144843644123,0.1426827758550644,170.27729868888855,
polish_1year,,,median,TabICL,Foundation,0.9281650071123756,0.9428178864134544,0.9682317231357964,0.9281650071123756,0.9663187595879904,0.8915324348016656,0.7190598001452122,0.8518518518518519,0.7860100300004261,0.0367925092577934,7.044504642486572,
polish_1year,,,knn,TabPFN,Foundation,0.9246088193456614,0.9412840959954712,0.972008179423683,0.9246088193456614,0.9751191650230112,0.9341305062458908,0.7248390050809406,0.9444444444444444,0.8913603706199448,0.0215590242296457,174.25528717041016,
polish_1year,,,knn,TabICL,Foundation,0.9210526315789472,0.9373516976356708,0.963911671365783,0.9210526315789472,0.9495329278983125,0.8522764628533859,0.6941771258928309,0.7777777777777778,0.6962476359606231,0.0393548347055912,7.056621074676514,
polish_1year,,,mice,TabPFN,Foundation,,,,,,,,,,,,Input X contains infinity or a value too large for dtype('float32').
polish_1year,,,mice,TabICL,Foundation,0.9544807965860598,0.9614314004406884,0.9745468209023322,0.9544807965860598,0.9838784790707868,0.9229947403024326,0.7879336349924585,0.8888888888888888,0.8788446291785307,0.0406463705003261,6.43663215637207,
polish_1year,,,mice_indicator,TabPFN,Foundation,,,,,,,,,,,,Input X contains infinity or a value too large for dtype('float32').
polish_1year,,,mice_indicator,TabICL,Foundation,0.9416785206258892,0.9528798649124032,0.974399667140139,0.9416785206258892,0.9837278106508875,0.9430062458908612,0.7615726953874661,0.9444444444444444,0.8737716386644973,0.0345898158848285,17.14347195625305,
polish_1year,,,none,TabPFN,Foundation,0.9900426742532006,0.9903712568330983,0.9910394720454144,0.9900426742532006,0.9968770545693624,0.968154174884944,0.9370587332446536,0.9444444444444444,0.9550567801493198,0.1185985505580902,156.38358879089355,
polish_1year,,,none,TabICL,Foundation,0.9886201991465148,0.989081273457894,0.9900490009285308,0.9886201991465148,0.9978906421214114,0.96741452991453,0.929233827840902,0.9444444444444444,0.9700733638225132,0.0410075597465038,6.665058374404907,
