dataset,mechanism,target_rate,realized_rate,delta,abs_delta,tolerance,within_tolerance,added_missing_cells,affected_columns
polish_1year,MCAR,0.05,0.04999944404910158,-5.559508984218087e-07,5.559508984218087e-07,0.01,True,13324,64
polish_1year,MCAR,0.1,0.09999888809820316,-1.1119017968436173e-06,1.1119017968436173e-06,0.01,True,31311,64
polish_1year,MCAR,0.15,0.15000111190179682,1.1119017968297396e-06,1.1119017968297396e-06,0.01,True,49299,64
polish_1year,MCAR,0.2,0.2000005559508984,5.55950898400992e-07,5.55950898400992e-07,0.01,True,67286,64
polish_1year,MCAR,0.3,0.29999944404910156,-5.559508984287476e-07,5.559508984287476e-07,0.01,True,103260,64
polish_1year,MCAR,0.4,0.4000011119017968,1.111901796801984e-06,1.111901796801984e-06,0.01,True,139235,64
polish_1year,MAR,0.05,0.04999944404910158,-5.559508984218087e-07,5.559508984218087e-07,0.01,True,13324,64
polish_1year,MAR,0.1,0.09999888809820316,-1.1119017968436173e-06,1.1119017968436173e-06,0.01,True,31311,64
polish_1year,MAR,0.15,0.15000111190179682,1.1119017968297396e-06,1.1119017968297396e-06,0.01,True,49299,64
polish_1year,MAR,0.2,0.2000005559508984,5.55950898400992e-07,5.55950898400992e-07,0.01,True,67286,64
polish_1year,MAR,0.3,0.29999944404910156,-5.559508984287476e-07,5.559508984287476e-07,0.01,True,103260,64
polish_1year,MAR,0.4,0.4000011119017968,1.111901796801984e-06,1.111901796801984e-06,0.01,True,139235,64
polish_1year,MNAR,0.05,0.04999944404910158,-5.559508984218087e-07,5.559508984218087e-07,0.01,True,13324,64
polish_1year,MNAR,0.1,0.09999888809820316,-1.1119017968436173e-06,1.1119017968436173e-06,0.01,True,31311,64
polish_1year,MNAR,0.15,0.15000111190179682,1.1119017968297396e-06,1.1119017968297396e-06,0.01,True,49299,64
polish_1year,MNAR,0.2,0.2000005559508984,5.55950898400992e-07,5.55950898400992e-07,0.01,True,67286,64
polish_1year,MNAR,0.3,0.29999944404910156,-5.559508984287476e-07,5.559508984287476e-07,0.01,True,103260,64
polish_1year,MNAR,0.4,0.4000011119017968,1.111901796801984e-06,1.111901796801984e-06,0.01,True,139235,64
