model,missing_mechanism,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,n,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,pr_auc_mean,pr_auc_std,recall_class1_mean,recall_class1_std
CatBoost,MAR,0.8574,0.0901,0.596,0.9666,0.8957,0.0611,36,0.8397,0.0424,0.6335,0.0827,0.6185,0.1527,0.8205,0.0938
CatBoost,MCAR,0.8237,0.0902,0.564,0.9509,0.8737,0.0614,36,0.8266,0.0623,0.5966,0.0765,0.586,0.1759,0.8297,0.1083
CatBoost,MNAR,0.8252,0.1126,0.5057,0.9623,0.8733,0.0785,36,0.8197,0.059,0.6027,0.092,0.6091,0.1595,0.8138,0.124
Gradient-Boosting,MAR,0.8445,0.0899,0.5896,0.9331,0.8872,0.0608,30,0.8371,0.0438,0.6174,0.0739,0.5649,0.1328,0.829,0.0904
Gradient-Boosting,MCAR,0.8348,0.0994,0.6209,0.9701,0.881,0.0668,30,0.8311,0.0535,0.6152,0.0936,0.5567,0.1669,0.8272,0.0839
Gradient-Boosting,MNAR,0.8447,0.0857,0.5605,0.9552,0.8875,0.0584,30,0.8253,0.0478,0.6147,0.0775,0.5742,0.147,0.8043,0.0892
LightGBM,MAR,0.8654,0.0655,0.6764,0.9708,0.9019,0.0428,36,0.8589,0.0491,0.6404,0.071,0.6395,0.1346,0.8519,0.1076
LightGBM,MCAR,0.8342,0.1022,0.5797,0.9488,0.8805,0.0692,36,0.8471,0.0582,0.618,0.0926,0.6093,0.1518,0.8611,0.0713
LightGBM,MNAR,0.8687,0.0762,0.6743,0.9595,0.9039,0.0502,36,0.8544,0.042,0.6476,0.08,0.6376,0.1366,0.839,0.0756
Logistic-Regression,MAR,0.7401,0.1104,0.5669,0.9609,0.8159,0.0759,30,0.6794,0.0627,0.5096,0.0812,0.1613,0.1,0.6136,0.162
Logistic-Regression,MCAR,0.6938,0.1454,0.2838,0.9509,0.7794,0.1139,30,0.7024,0.066,0.4947,0.1053,0.1627,0.1067,0.7117,0.1056
Logistic-Regression,MNAR,0.7235,0.1116,0.4886,0.9573,0.8041,0.0782,30,0.6805,0.0722,0.4991,0.0776,0.1667,0.0978,0.634,0.1781
MLP,MAR,0.7534,0.349,0.0533,0.9616,0.7565,0.3352,30,0.5141,0.0652,0.4155,0.1716,0.0776,0.0982,0.2549,0.3841
MLP,MCAR,0.8383,0.3038,0.0512,0.9616,0.826,0.2973,30,0.5124,0.0629,0.4449,0.152,0.0772,0.084,0.1593,0.3394
MLP,MNAR,0.7513,0.3713,0.0533,0.9623,0.7441,0.359,30,0.4985,0.0132,0.3986,0.1739,0.0569,0.018,0.2247,0.3918
Random-Forest,MAR,0.829,0.0959,0.5619,0.9367,0.8762,0.0655,30,0.7973,0.0521,0.5929,0.073,0.4202,0.1413,0.763,0.1233
Random-Forest,MCAR,0.8182,0.089,0.606,0.9708,0.8702,0.0598,30,0.7982,0.0608,0.5878,0.0841,0.39,0.1582,0.7765,0.1061
Random-Forest,MNAR,0.8498,0.063,0.7084,0.9545,0.8912,0.0406,30,0.7966,0.0552,0.6062,0.0633,0.4036,0.1487,0.7389,0.1087
SVM,MAR,0.6371,0.1086,0.372,0.9011,0.7404,0.0857,30,0.6937,0.0487,0.4556,0.0636,0.1819,0.1375,0.7549,0.1134
SVM,MCAR,0.6023,0.1411,0.17,0.8706,0.7072,0.136,30,0.6872,0.0655,0.4366,0.0904,0.1876,0.1553,0.779,0.076
SVM,MNAR,0.6126,0.1955,0.0519,0.8243,0.7011,0.2127,30,0.6643,0.0612,0.43,0.123,0.1824,0.1351,0.7204,0.1338
TabICL,MAR,0.9122,0.0756,0.6714,0.9929,0.9326,0.0508,36,0.8358,0.0879,0.713,0.1236,0.626,0.2493,0.7531,0.1523
TabICL,MCAR,0.8875,0.1043,0.6543,0.9922,0.9169,0.0703,36,0.8299,0.0837,0.7011,0.1539,0.586,0.2705,0.7675,0.1266
TabICL,MNAR,0.9192,0.0536,0.8023,0.9893,0.9377,0.0374,36,0.8318,0.0877,0.719,0.1299,0.6304,0.2476,0.7371,0.1423
TabPFN,MAR,0.953,0.0289,0.8876,0.99,0.9613,0.0209,36,0.9217,0.0461,0.7994,0.0837,0.8318,0.1318,0.8879,0.0834
TabPFN,MCAR,0.9499,0.0441,0.793,0.9929,0.96,0.0309,36,0.9191,0.0421,0.8059,0.108,0.8256,0.1439,0.8858,0.0647
TabPFN,MNAR,0.9598,0.0348,0.8627,0.9908,0.9667,0.0251,36,0.9055,0.0342,0.8254,0.0981,0.8522,0.1113,0.8467,0.059
XGBoost,MAR,0.8828,0.0579,0.7376,0.9651,0.9132,0.0374,36,0.8531,0.0446,0.6581,0.0694,0.627,0.1373,0.821,0.0913
XGBoost,MCAR,0.8696,0.0867,0.6252,0.973,0.9046,0.0575,36,0.8399,0.0565,0.6556,0.1039,0.5824,0.174,0.8076,0.0916
XGBoost,MNAR,0.8826,0.0769,0.6003,0.9666,0.9127,0.0514,36,0.8488,0.0498,0.6642,0.0854,0.6237,0.143,0.8122,0.1123
