dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
slovak_manufacture_13,,,mean,TabPFN,Foundation,0.9476885644768857,0.9668320532798615,0.9893870003392832,0.9476885644768857,0.9340277777777778,0.7254901960784313,0.547744865971467,0.5,0.2365387622353566,0.0270319767296314,25.72001338005066,
slovak_manufacture_13,,,mean,TabICL,Foundation,0.889294403892944,0.9348208182025772,0.9902912182342544,0.889294403892944,0.9413807189542484,0.7787990196078431,0.5109542022163381,0.6666666666666666,0.3889643231748494,0.0094044972211122,6.152395009994507,
slovak_manufacture_13,,,median,TabPFN,Foundation,0.9440389294403893,0.9648593895925444,0.9893390087257524,0.9440389294403893,0.9244281045751632,0.7236519607843137,0.5432450715114031,0.5,0.2288394860326149,0.0248725861310958,24.65532612800598,
slovak_manufacture_13,,,median,TabICL,Foundation,0.864963503649635,0.9209534953994712,0.9916139866242144,0.864963503649635,0.9417892156862744,0.849264705882353,0.5048810796438087,0.8333333333333334,0.3904440154440154,0.0078919846564531,6.007892370223999,
slovak_manufacture_13,,,knn,TabPFN,Foundation,0.942822384428224,0.9642015222834062,0.9893239282797868,0.942822384428224,0.9409722222222222,0.7230392156862745,0.5418331890468793,0.5,0.2399324368130497,0.024813063442707,24.520668983459476,
slovak_manufacture_13,,,knn,TabICL,Foundation,0.8807785888077859,0.9299976055342426,0.9902428372121236,0.8807785888077859,0.9456699346405228,0.7745098039215685,0.5058762911892436,0.6666666666666666,0.396342029216045,0.0088835852220654,6.302124977111816,
slovak_manufacture_13,,,mice,TabPFN,Foundation,0.9440389294403893,0.9648593895925444,0.9893390087257524,0.9440389294403893,0.9479166666666669,0.7236519607843137,0.5432450715114031,0.5,0.3825103945677159,0.0259829424321651,24.726420640945435,
slovak_manufacture_13,,,mice,TabICL,Foundation,0.8905109489051095,0.9355659770810484,0.9917253890696972,0.8905109489051095,0.9520016339869282,0.8621323529411765,0.5208549222797928,0.8333333333333334,0.3994376387993409,0.0100415796041488,5.973957061767578,
slovak_manufacture_13,,,mice_indicator,TabPFN,Foundation,0.942822384428224,0.9643999911468318,0.9907281521498034,0.942822384428224,0.9556781045751632,0.8057598039215685,0.5579380971451456,0.6666666666666666,0.2540538955173101,0.0280830282717943,255.7501676082611,
slovak_manufacture_13,,,mice_indicator,TabICL,Foundation,0.8819951338199513,0.930733606845324,0.991685241192858,0.8819951338199513,0.9536356209150328,0.857843137254902,0.5151739947342499,0.8333333333333334,0.3972297011931158,0.0100415796041488,11.22560691833496,
slovak_manufacture_13,,,none,TabPFN,Foundation,0.9343065693430656,0.9597577169814522,0.990630198449756,0.9343065693430656,0.930453431372549,0.8014705882352942,0.5474491252395906,0.6666666666666666,0.2341128767872953,0.0214097145944833,25.213977575302124,
slovak_manufacture_13,,,none,TabICL,Foundation,0.8917274939172749,0.9361919591432724,0.9903055694941624,0.8917274939172749,0.9413807189542484,0.7800245098039216,0.5124717611072978,0.6666666666666666,0.3889643231748494,0.0096191689372062,6.360714912414551,
slovak_manufacture_13,MCAR,5.0,mean,TabPFN,Foundation,0.9476885644768857,0.9668320532798615,0.9893870003392832,0.9476885644768857,0.9340277777777778,0.7254901960784313,0.547744865971467,0.5,0.2365387622353566,0.0270319767296314,24.86589527130127,
slovak_manufacture_13,MCAR,5.0,mean,TabICL,Foundation,0.889294403892944,0.9348208182025772,0.9902912182342544,0.889294403892944,0.9413807189542484,0.7787990196078431,0.5109542022163381,0.6666666666666666,0.3889643231748494,0.0094044972211122,6.4471704959869385,
