dataset,mechanism,target_rate,realized_rate,delta,abs_delta,tolerance,within_tolerance,added_missing_cells,affected_columns
slovak_manufacture_13,MCAR,0.05,0.050629363871373005,0.0006293638713730024,0.0006293638713730024,0.01,True,0,0
slovak_manufacture_13,MCAR,0.1,0.10000241598415115,2.415984151141193e-06,2.415984151141193e-06,0.01,True,10218,63
slovak_manufacture_13,MCAR,0.15,0.14999879200792443,-1.2079920755636575e-06,1.2079920755636575e-06,0.01,True,20565,63
slovak_manufacture_13,MCAR,0.2,0.2,0.0,0.0,0.01,True,30913,63
slovak_manufacture_13,MCAR,0.3,0.29999758401584886,-2.415984151127315e-06,2.415984151127315e-06,0.01,True,51608,63
slovak_manufacture_13,MCAR,0.4,0.4,0.0,0.0,0.01,True,72304,63
slovak_manufacture_13,MAR,0.05,0.050629363871373005,0.0006293638713730024,0.0006293638713730024,0.01,True,0,0
slovak_manufacture_13,MAR,0.1,0.10000241598415115,2.415984151141193e-06,2.415984151141193e-06,0.01,True,10218,63
slovak_manufacture_13,MAR,0.15,0.14999879200792443,-1.2079920755636575e-06,1.2079920755636575e-06,0.01,True,20565,63
slovak_manufacture_13,MAR,0.2,0.2,0.0,0.0,0.01,True,30913,63
slovak_manufacture_13,MAR,0.3,0.29999758401584886,-2.415984151127315e-06,2.415984151127315e-06,0.01,True,51608,63
slovak_manufacture_13,MAR,0.4,0.4,0.0,0.0,0.01,True,72304,63
slovak_manufacture_13,MNAR,0.05,0.050629363871373005,0.0006293638713730024,0.0006293638713730024,0.01,True,0,0
slovak_manufacture_13,MNAR,0.1,0.10000241598415115,2.415984151141193e-06,2.415984151141193e-06,0.01,True,10218,63
slovak_manufacture_13,MNAR,0.15,0.14999879200792443,-1.2079920755636575e-06,1.2079920755636575e-06,0.01,True,20565,63
slovak_manufacture_13,MNAR,0.2,0.2,0.0,0.0,0.01,True,30913,63
slovak_manufacture_13,MNAR,0.3,0.29999758401584886,-2.415984151127315e-06,2.415984151127315e-06,0.01,True,51608,63
slovak_manufacture_13,MNAR,0.4,0.4,0.0,0.0,0.01,True,72304,63
