dataset,mechanism,target_rate,realized_rate,delta,abs_delta,tolerance,within_tolerance,added_missing_cells,affected_columns
taiwan_bankruptcy,MCAR,0.05,0.04999951758406098,-4.824159390223737e-07,4.824159390223737e-07,0.01,True,25911,95
taiwan_bankruptcy,MCAR,0.1,0.09999903516812196,-9.648318780447473e-07,9.648318780447473e-07,0.01,True,51822,95
taiwan_bankruptcy,MCAR,0.15,0.15000048241593902,4.824159390293126e-07,4.824159390293126e-07,0.01,True,77734,95
taiwan_bankruptcy,MCAR,0.2,0.2,0.0,0.0,0.01,True,103645,95
taiwan_bankruptcy,MCAR,0.3,0.30000096483187805,9.648318780586251e-07,9.648318780586251e-07,0.01,True,155468,95
taiwan_bankruptcy,MCAR,0.4,0.4,0.0,0.0,0.01,True,207290,95
taiwan_bankruptcy,MAR,0.05,0.04999951758406098,-4.824159390223737e-07,4.824159390223737e-07,0.01,True,25911,95
taiwan_bankruptcy,MAR,0.1,0.09999903516812196,-9.648318780447473e-07,9.648318780447473e-07,0.01,True,51822,95
taiwan_bankruptcy,MAR,0.15,0.15000048241593902,4.824159390293126e-07,4.824159390293126e-07,0.01,True,77734,95
taiwan_bankruptcy,MAR,0.2,0.2,0.0,0.0,0.01,True,103645,95
taiwan_bankruptcy,MAR,0.3,0.30000096483187805,9.648318780586251e-07,9.648318780586251e-07,0.01,True,155468,95
taiwan_bankruptcy,MAR,0.4,0.4,0.0,0.0,0.01,True,207290,95
taiwan_bankruptcy,MNAR,0.05,0.04999951758406098,-4.824159390223737e-07,4.824159390223737e-07,0.01,True,25911,95
taiwan_bankruptcy,MNAR,0.1,0.09999903516812196,-9.648318780447473e-07,9.648318780447473e-07,0.01,True,51822,95
taiwan_bankruptcy,MNAR,0.15,0.15000048241593902,4.824159390293126e-07,4.824159390293126e-07,0.01,True,77734,95
taiwan_bankruptcy,MNAR,0.2,0.2,0.0,0.0,0.01,True,103645,95
taiwan_bankruptcy,MNAR,0.3,0.30000096483187805,9.648318780586251e-07,9.648318780586251e-07,0.01,True,155468,95
taiwan_bankruptcy,MNAR,0.4,0.4,0.0,0.0,0.01,True,207290,95
