model,missing_mechanism,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,n,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,pr_auc_mean,pr_auc_std,recall_class1_mean,recall_class1_std
CatBoost,MAR,0.7997,0.0586,0.6342,0.9172,0.8628,0.0385,36,0.8495,0.0163,0.56,0.0437,0.4819,0.0403,0.9028,0.0457
CatBoost,MCAR,0.7985,0.0574,0.596,0.8827,0.862,0.0387,36,0.855,0.0195,0.5592,0.0393,0.4797,0.0627,0.9154,0.0491
CatBoost,MNAR,0.8149,0.0717,0.6496,0.9326,0.8722,0.0472,36,0.8516,0.0194,0.5738,0.0539,0.4813,0.0474,0.8908,0.0661
Gradient-Boosting,MAR,0.8104,0.0413,0.7163,0.8856,0.8702,0.0269,30,0.8614,0.0132,0.567,0.0295,0.4143,0.0296,0.9159,0.0359
Gradient-Boosting,MCAR,0.7954,0.0478,0.6613,0.8746,0.8603,0.0318,30,0.8642,0.0156,0.5576,0.032,0.43,0.029,0.9379,0.0454
Gradient-Boosting,MNAR,0.8053,0.0505,0.7016,0.89,0.8667,0.0329,30,0.8665,0.015,0.5657,0.0362,0.4459,0.0369,0.9318,0.0489
LightGBM,MAR,0.7872,0.0684,0.6562,0.9157,0.8544,0.0451,36,0.8565,0.0196,0.5547,0.0508,0.5213,0.0344,0.9306,0.0527
LightGBM,MCAR,0.8028,0.05,0.6848,0.8952,0.8651,0.0328,36,0.8658,0.0195,0.5637,0.0361,0.5378,0.0344,0.9331,0.0486
LightGBM,MNAR,0.816,0.052,0.6496,0.9084,0.8736,0.0342,36,0.8668,0.0172,0.5737,0.0379,0.5372,0.0359,0.9211,0.0487
Logistic-Regression,MAR,0.7399,0.076,0.5411,0.9457,0.822,0.0526,30,0.8151,0.0249,0.5184,0.0519,0.3291,0.0315,0.8955,0.0737
Logistic-Regression,MCAR,0.7476,0.0606,0.5572,0.8592,0.8279,0.0424,30,0.8176,0.0221,0.5205,0.0373,0.312,0.0404,0.8924,0.0409
Logistic-Regression,MNAR,0.775,0.0706,0.6767,0.9318,0.8461,0.0455,30,0.812,0.0208,0.5392,0.0514,0.3092,0.0318,0.8515,0.0901
MLP,MAR,0.7535,0.3148,0.0389,0.967,0.7796,0.3008,30,0.6141,0.1263,0.4777,0.1876,0.1659,0.1204,0.4652,0.3366
MLP,MCAR,0.8212,0.2082,0.0557,0.9582,0.8583,0.1868,30,0.7381,0.064,0.5774,0.1395,0.2986,0.0327,0.6492,0.1572
MLP,MNAR,0.7905,0.2101,0.0587,0.9655,0.835,0.1926,30,0.6479,0.1037,0.5107,0.1267,0.1785,0.1025,0.4955,0.2681
Random-Forest,MAR,0.8306,0.0543,0.6789,0.9113,0.8828,0.0352,30,0.8568,0.0162,0.5835,0.0416,0.4511,0.0326,0.8848,0.0492
Random-Forest,MCAR,0.8611,0.0274,0.7867,0.9076,0.9024,0.0171,30,0.8579,0.01,0.6059,0.0259,0.4303,0.0346,0.8545,0.029
Random-Forest,MNAR,0.8699,0.0321,0.7654,0.9282,0.9079,0.0201,30,0.8629,0.013,0.6163,0.0292,0.4496,0.0345,0.8553,0.0456
SVM,MAR,0.78,0.0504,0.6532,0.9274,0.8502,0.0329,30,0.8483,0.0297,0.5459,0.0381,0.3128,0.0236,0.9212,0.0824
SVM,MCAR,0.7872,0.0521,0.6393,0.8922,0.8548,0.0344,30,0.8395,0.0323,0.5484,0.0373,0.3099,0.0283,0.8955,0.0768
SVM,MNAR,0.7838,0.0538,0.6921,0.9289,0.8525,0.0349,30,0.8411,0.0332,0.547,0.0384,0.3231,0.0237,0.9023,0.0944
TabICL,MAR,0.8665,0.0281,0.8072,0.9245,0.9058,0.0174,36,0.8602,0.0117,0.6117,0.0256,0.5286,0.0346,0.8535,0.0481
TabICL,MCAR,0.8648,0.0395,0.7529,0.9282,0.9047,0.0248,36,0.8658,0.0081,0.6139,0.0372,0.5384,0.0274,0.8668,0.0442
TabICL,MNAR,0.8593,0.0342,0.7749,0.9135,0.9012,0.0214,36,0.8638,0.0098,0.6067,0.0299,0.5368,0.023,0.8687,0.0458
TabPFN,MAR,0.8662,0.0351,0.7361,0.9186,0.9056,0.0223,36,0.8695,0.0159,0.6145,0.0298,0.572,0.0241,0.8731,0.049
TabPFN,MCAR,0.8813,0.0381,0.7273,0.9274,0.9149,0.0242,36,0.87,0.0169,0.6308,0.0321,0.5639,0.0311,0.858,0.0563
TabPFN,MNAR,0.865,0.0347,0.7801,0.9179,0.9049,0.0217,36,0.8763,0.0166,0.615,0.0288,0.5487,0.0319,0.8883,0.0641
XGBoost,MAR,0.8713,0.0424,0.7441,0.9413,0.9087,0.0267,36,0.8694,0.0152,0.6225,0.0425,0.505,0.0315,0.8674,0.0517
XGBoost,MCAR,0.8569,0.0449,0.7581,0.9304,0.8998,0.0283,36,0.8733,0.0155,0.6094,0.041,0.52,0.0387,0.8908,0.0543
XGBoost,MNAR,0.8694,0.0337,0.7713,0.9208,0.9077,0.0211,36,0.8746,0.0153,0.6194,0.0325,0.5142,0.0331,0.8801,0.0494
