iter	Passed	Remaining
0	1	196
1	3	185
2	5	179
3	7	175
4	9	171
5	10	169
6	12	167
7	14	165
8	16	164
9	18	162
10	19	160
11	21	159
12	23	157
13	25	156
14	27	154
15	29	154
16	31	153
17	33	152
18	35	150
19	37	149
20	39	147
21	41	145
22	43	144
23	45	142
24	46	140
25	48	139
26	50	137
27	52	135
28	54	133
29	56	131
30	58	130
31	60	128
32	62	126
33	64	124
34	65	122
35	67	120
36	69	119
37	71	116
38	73	114
39	75	113
40	77	111
41	79	109
42	81	107
43	83	105
44	84	103
45	86	101
46	88	100
47	90	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	89
53	102	87
54	104	85
55	106	83
56	108	81
57	110	79
58	112	77
59	114	76
60	115	74
61	117	72
62	119	70
63	121	68
64	123	66
65	125	64
66	127	62
67	129	60
68	131	59
69	133	57
70	135	55
71	137	53
72	138	51
73	140	49
74	142	47
75	144	45
76	146	43
77	148	41
78	150	39
79	152	38
80	154	36
81	155	34
82	157	32
83	159	30
84	161	28
85	163	26
86	165	24
87	167	22
88	168	20
89	170	18
90	172	17
91	174	15
92	176	13
93	178	11
94	180	9
95	181	7
96	183	5
97	185	3
98	187	1
99	189	0
